2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:24 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:32 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:33 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:33 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:33 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:33 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:34 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:24:34 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
